termination_clause,liability_clause,contract_id
0.0,0.0,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT
0.0,1.0,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement
0.0,1.0,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT
0.32075471698113206,0.0,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT
0.0,0.0,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT"
1.0,1.0,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT
0.3728813559322034,0.9622641509433962,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement
0.0,0.0,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement
0.0,0.0,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement
0.0,0.17241379310344826,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT
0.3529411764705882,0.732394366197183,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement
0.0,0.0,CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT
0.7567567567567567,0.19819819819819823,CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT
0.23157894736842105,0.2978723404255319,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement
1.0,0.1395348837209302,DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT
0.11764705882352941,0.10810810810810811,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement
0.34210526315789475,0.2151898734177215,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT
