contract_id,summary,termination_clause,confidentiality_clause,liability_clause
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"The agreement grants ADAMS GOLF the exclusive right to use professional golfer Tom Watson's name, likeness, and endorsement for promoting its golf products. Watson must exclusively use specified ADAMS GOLF products during professional events and cannot endorse competing products. ADAMS GOLF is obligated to provide Watson with necessary products and pay a base compensation, with potential performance bonuses based on his achievements.

Notable risks include Watson's obligation to repay a portion of his compensation if he fails to meet a minimum number of tournament appearances. Additionally, either party can terminate the agreement for material breaches, with Watson required to repay for unfulfilled contract periods. ADAMS GOLF may also terminate if Watson's conduct diminishes the value of his endorsement. Both parties indemnify each other against liabilities arising from breaches of the agreement.","if either party commits any material breach of this Agreement, the other party may terminate for cause upon giving fifteen (15) days written notice of such cause and provided the breach is not rectified within such fifteen (15) day period.","both parties agree not to disclose the terms of this Agreement, without the permission of the other party, to any third party other than to CONSULTANT'S business, legal and financial advisors, and with respect to all such advisors, CONSULTANT shall take all reasonable steps to ensure such confidentiality to ADAMS GOLF.","CONSULTANT agrees to protect, indemnify and hold ADAMS GOLF harmless from any and all liability, claims, causes of action, suits, damages and expenses (including reasonable attorneys' fees and expenses) for which it becomes liable or is compelled to pay by reason of a breach of any covenant or representation by CONSULTANT in this Agreement."
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,"The Joint Content License Agreement establishes a cooperative marketing and licensing relationship between WPT Enterprises, Inc. and Zynga Inc. to promote each other's brands through various gaming platforms. Zynga is obligated to pay WPT an annual minimum guarantee of $3 million and a 10% royalty on net revenue from WPT-branded content. WPT must promote Zynga's brand at its tournaments, while Zynga will create a WPT-branded tournament mode in its games. Notable risks include potential breaches of contract, which could lead to termination and liability for damages. Each party indemnifies the other against third-party claims arising from breaches of their respective obligations. The agreement also limits liability for indirect damages and specifies that both parties must maintain adequate insurance coverage.","Each party shall have the right at any time to terminate this Agreement without prejudice to any rights which it may have, whether pursuant to the provisions of this Agreement or otherwise in law or in equity or otherwise, upon the occurrence of any one or more of the following events: i. The other party breaches or fails to perform any of its material obligations provided for in this Agreement; ii. The other party is unable to pay its debts when due, or makes any assignment for the benefit of creditors, or files any petition under the bankruptcy or insolvency laws of any jurisdiction, county or place, or has or suffers a receiver or trustee to be appointed for its business or property, or is adjudicated a bankrupt or an insolvent; or iii. The other party asserts any rights in or to the terminating party's intellectual property in violation of this Agreement.","The parties acknowledge and agree that the subject matter of this Agreement constitutes ""Business Purpose"" and this Agreement and any Exhibits hereunder are ""Confidential Information"" of the parties as defined as ""Information"" in the Non-Disclosure Agreement between the parties dated August 24, 2017, and accordingly the restrictions relating to confidentiality and use thereof provided in the Non-Disclosure Agreement apply to any party's Confidential Information disclosed pursuant to this Agreement.","EXCEPT IN CASES OF GROSS NEGLIGENCE, WILLFUL MISCONDUCT OR FRAUD, INDEMNIFICATION CLAIMS UNDER SECTION 5 OR BREACHES OF SECTION 2 (TRADEMARKS), 8 (CONFIDENTIALITY), OR 9 (NO AGENCY RELATIONSHIP), IN NO EVENT SHALL EITHER PARTY OR ITS OFFICERS, DIRECTORS, OR EMPLOYEES BE LIABLE TO THE OTHER PARTY IN CONNECTION WITH THE SUBJECT MATTER HEREOF, FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR PUNITIVE DAMAGES OF ANY KIND, LOST PROFITS OR LOST REVENUE, WHETHER ARISING IN CONTRACT, TORT, NEGLIGENCE, STATUTE, OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY THEREOF."
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,"The Licensing and Website Hosting Agreement establishes a partnership between Mortgage Logic.com, Inc. (Client) and TrueLink, Inc. (TrueLink) for access to TrueLink's interface software and related support services. TrueLink is obligated to provide the Client with a non-exclusive license to use the interface, hosting services, and technical support, while the Client must comply with applicable laws and maintain confidentiality regarding proprietary information. Notable risks include potential liability for breaches of the agreement, particularly concerning the use of credit data and content posted on the website. Both parties agree to indemnify each other for claims arising from breaches of the agreement. TrueLink's liability is limited to the total compensation paid for services in the preceding 12 months, and the agreement can be terminated with written notice, subject to specific conditions.",TrueLink will continue to provide the requested Hosting Services and Support Services until the last day of the month following the month in which Client provides TrueLink with a written notice of its election to terminate this Agreement.,"Client acknowledges its responsibility to preserve the confidentiality of certain technology, information, and documentation embedded in the Interface and agrees to respect the confidential nature of the Interface.","IN NO EVENT SHALL TRUELINK'S LIABILITY FOR ANY MATTER ARISING UNDER OR RELATED TO SECTION 3, 4, 7 AND 11 THIS AGREEMENT (OTHER THAN DUE TO A BREACH RESULTING FROM TRUELINK'S GROSS NEGLIGENCE OR WILLFUL MISCONDUCT) EXCEED THE TOTAL COMPENSATION PAID FOR HOSTING AND SUPPORT SERVICES OVER THE IMMEDIATELY PRECEDING 12 MONTHS PERIOD."
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"The Agency Agreement establishes a partnership between The Bon-Ton Stores, Inc. (Merchant) and GA Retail, Inc. and Tiger Capital Group, LLC (Agent) for the sale of Merchant's assets during its Chapter 11 bankruptcy. Merchant appoints Agent as its exclusive agent to conduct a ""going out of business"" sale, including selling merchandise, furniture, and real estate. Merchant must provide necessary cooperation and maintain records, while Agent is responsible for executing the sale and covering related expenses.

Key risks include potential claims against Merchant, which Agent is not liable for unless specified. If Agent terminates the sale early, it must provide a seven-day notice, continuing to pay certain expenses until the termination date. Additionally, any proceeds from the sale are held in trust for Agent, and Merchant must comply with the Wind-Down Budget to manage expenses effectively.","Agent may, in its discretion, earlier terminate the GOB Sale on a Store-by- Store basis upon not less than seven (7) days' prior written notice (a ""Vacate Notice"") to Merchant (the ""Vacate Date""), provided, that it being understood that Agent's obligations to pay all Expenses, including Occupancy Expenses, for each Store subject to a Vacate Notice shall continue until the applicable Vacate Date, provided, however, that, with respect to Occupancy Expenses, Agent's obligations to pay all Occupancy Expenses for each Store shall continue until the last day of the calendar month in which the Vacate Date occurs for such Store.",,Purchaser shall not be liable for any claims against Merchant except as expressly provided for in this Agreement.
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","The Joint Venture Agreement establishes a partnership between BorrowMoney.com, Inc. and JVLS, LLC to jointly invest in IT development and medical service deployment. BorrowMoney.com is responsible for technical requirements, while JVLS will contribute $60,000 monthly from awarded contracts and 10% of generated gross revenue. Each member must fulfill their capital contributions and cannot withdraw without unanimous consent. Notable risks include potential liability for harm caused by a member's actions, with indemnification provisions in place. The agreement allows for dissolution under specific conditions, including expiration of the term or unanimous member vote. Members are protected from liability for good faith actions but are liable for gross negligence or willful misconduct. Confidentiality and conflict of interest provisions are included, and disputes will be resolved through mediation and arbitration in Florida.","the remaining Members will have the right to terminate this Agreement with regard to that individual defaulting Member (an ""Involuntary Withdrawal"")","All matters relating to this Agreement and the Venture will be treated by the Members as confidential and no Member will disclose or allow to be disclosed any Venture matter or matters, directly or indirectly, to any third party without the prior written approval of all Members except where the information properly comes into the public domain.",Each Member will be indemnified and held harmless by the Venture from any and all harm or damages of any nature relating to the Member's participation in Venture affairs except where such harm or damages results from gross negligence or willful misconduct on the part of the Member.
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"The Web Site Hosting Agreement establishes a relationship between Centrack International (Customer) and i-on interactive (Provider) for hosting the Customer's website. i-on is obligated to maintain continuous operation of the hosted site, provide internet connectivity, and perform necessary maintenance, while the Customer must pay a monthly fee of $450 by the 5th of each month and is responsible for all content and user support related to the site. Notable risks include potential service interruptions and data loss, for which i-on is not liable, provided it follows agreed protocols. The Customer indemnifies i-on against claims arising from its use of the services. The agreement can be terminated by either party with 30 days' notice, but the Customer remains liable for all fees due upon termination. Liability for damages is limited to one month's fees.",Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.,,"i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees."
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"The Intellectual Property Agreement between Nuance Communications, Inc. and Cerence Inc. outlines the transfer and licensing of intellectual property rights in connection with a corporate spin-off. Nuance grants Cerence licenses to use its patents and technology for specific business applications, while Cerence reciprocates by granting similar rights to Nuance for its intellectual property. Each party must respect the other's ownership and not impair their rights. Notable risks include limitations on liability, where neither party is liable for indirect or consequential damages. The agreement can only be terminated by mutual consent, and confidentiality obligations are imposed on both parties regarding proprietary information. Breaches may lead to specific performance claims, emphasizing the importance of compliance with the agreement's terms.","Section 9.01. Termination by Both Parties. Subject to Section 9.02, this Agreement may not be terminated except by an agreement in writing signed by a duly authorized officer of each of the Parties.","Section 6.01. Confidentiality. Without limiting Section 6.02, all confidential information of a Party disclosed to the other Party under this Agreement shall be deemed confidential and proprietary information of the disclosing Party, shall be subject to the provisions of Section 7.09 of the Separation Agreement and may be used by the Receiving Party pursuant to this Agreement for the sole and express purpose of effecting the licenses granted herein.","Section 7.01. Limitation on Liability. Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Nuance, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other's Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages."
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,"The Strategic Alliance Agreement establishes a partnership between Freedom Mortgage Corporation and Cherry Hill Mortgage Investment Corp. to enhance their business operations. Freedom Mortgage will provide Cherry Hill with a consistent source of mortgage loans, while Cherry Hill will offer liquidity through capital raised from securities offerings. Key obligations include Freedom Mortgage's responsibility to service the mortgage loans and Cherry Hill's commitment to cooperate in executing necessary agreements with Ginnie Mae. Notable risks include potential penalties for Freedom Mortgage if it fails to designate a Standby Issuer upon a Standby Trigger Event, which could lead to financial losses for Cherry Hill. Additionally, either party may terminate the agreement for material breaches, which does not absolve the breaching party from prior liabilities. The agreement is governed by New York law, and both parties waive the right to a jury trial in disputes.","(b) In the event that a party materially breaches any representation or covenant herein, the other party may give written notice of the breach requiring the same to be remedied within 30 days of receipt of such notice. If the breaching party fails to remedy the material breach in such time period, the non-breaching party may terminate this Agreement by delivery of a written termination notice to the breaching party.",,"(d) The Purchase Agreement will provide that Freedom Mortgage will indemnify Cherry Hill against, and hold it harmless from, any loss, cost or expense incurred by Cherry Hill as a result of Ginnie Mae's termination for cause of Freedom Mortgage as an issuer."
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,"The Domain Name and Content License Agreement establishes a licensing arrangement between Beijing SINA Internet Information Service Co., Ltd. (Licensor) and Beijing Yisheng Leju Information Services Co., Ltd. (Licensee) for the use of specific domain names and content related to an online real estate media platform in China. Licensor grants Licensee an exclusive, non-transferable license to use the Licensed Domain Names and Licensed Content without fees, while Licensee is responsible for compliance with laws and content monitoring.

Key obligations include Licensee's duty to remove offending content promptly and ensure compliance with applicable laws. Notable risks include potential penalties for non-compliance with content regulations, and both parties face liability for breaches of the agreement. Termination can occur for bankruptcy, material breaches, or changes in control, with specific provisions for transitioning post-termination.","6.2. Termination for Bankruptcy. Either Party may immediately terminate this Agreement in the event that the other Party (a) becomes insolvent or unable to pay its debts as they mature; (b) makes an assignment for the benefit of its creditors; (c) seeks relief, or if proceedings are commenced against such other Party or on its behalf, under any bankruptcy, insolvency or debtors' relief law and such proceedings have not been vacated or set aside within seven (7) days from the date of commencement thereof.","9.1. Confidential Information. In performing its obligations under this Agreement, either Party (the ""Recipient"") may obtain certain Confidential Information of the other Party. For purposes of this Agreement, ""Confidential Information"" shall mean information, documents and other tangible things, provided by either Party to the other, in whatever form, relating to such Party's business and marketing, including such Party's financial information, personal information, customer lists, product plans and marketing plans, whether alone or in its compiled form and whether marked as confidential or not.","8.1. Indemnification by Licensor. Licensor shall defend, indemnify and hold harmless Licensee and its Affiliates, and their respective officers, directors, employees, agents, shareholders, successors and assigns, (collectively, the ""Licensee Parties"") from and against any claim, suit, demand or action (""Action""), and any and all direct losses suffered or incurred by Licensee in connection with any third party claims arising out of or resulting from any breach by Licensor of any provision of this Agreement."
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"The License and Hosting Agreement between Corio Inc. and Commerce One Inc. allows Corio to license and host Commerce One's proprietary software for its customers. Corio is obligated to pay license and maintenance fees, provide technical support to its customers, and ensure compliance with the software's usage terms. Commerce One must deliver the software, provide updates, and support services as outlined in the agreement.

Notable risks include potential liability for software infringement claims, with Commerce One agreeing to indemnify Corio against such claims. If the software fails to meet performance standards, Corio can terminate the agreement and seek a refund. Additionally, both parties face limitations on liability, capping damages to the fees paid in the preceding year and excluding indirect or consequential damages. The agreement also includes confidentiality provisions and conditions for termination.","If either party materially breaches any term or condition of this Agreement and fails to cure such breach within-thirty (30) days after receiving written notice of the breach, the nonbreaching party may terminate this Agreement on written notice at any time following the end of such-thirty (30) day period.",Each party hereby agrees that it shall not use any Confidential Information received from the other party other than as expressly permitted under the terms of a non-disclosure agreement to be concurrently executed with this Agreement.,"EXCEPT FOR LIABILITY ARISING UNDER SECTION 8 OF THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY'S LIABILITY ARISING OUT OF THIS AGREEMENT OR THE USE OR PERFORMANCE OF THE SOFTWARE EXCEED THE TOTAL AMOUNT ACTUALLY PAID BY CORIO HEREUNDER FOR THE TRANSACTION WHICH THE LIABILITY RELATES TO DURING THE TWELVE (12) MONTHS IMMEDIATELY PRIOR TO THE FILING OF THE CAUSE OF ACTION TO WHICH THE LIABILITY RELATES."
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"The Chase Affiliate Agreement establishes the terms for affiliates to promote Chase credit cards through their websites. Affiliates must submit a registration form to join the program and can earn fees for each approved credit card account generated via their links. Key obligations include maintaining approved links, adhering to content restrictions, and not misrepresenting Chase. Chase reserves the right to reject applications or terminate the agreement for violations, including the use of restricted content or unauthorized marketing practices. Notable risks include potential liability for breaches of the agreement, with affiliates required to indemnify Chase for any claims arising from their actions. Additionally, Chase limits its liability to the total commissions paid to the affiliate, and affiliates must comply with confidentiality and trademark usage requirements.","Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.","Except as otherwise provided in this Agreement or with the consent of the other party hereto, each of the parties hereto agrees that all information including, without limitation, the terms of this Agreement, business and financial information, customer and vendor lists, and pricing and sales information, concerning Chase, Customer or Affiliate shall remain strictly confidential and secret and shall not be utilized, directly or indirectly, by such party for its own business purposes or for any other purpose except and solely to the extent necessary to exercise rights and perform obligations under this Agreement.","Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages. Further, Chase's aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this Agreement."
